rimi_id	prisma_id
1375534	38314
1375513	78283
260720	315367
7113477	40899
127203	145514
4006516	47078
7086400	1214
1354932	15648
1355849	42198
1350021	125415
1362932	42276
1353211	41693
1370075	2133
1354310	3352
1353983	2133
1361407	38601
200259	1417
909207	48513
204961	1489
228404	1829
959636	11331
4006345	9392
4006326	9376
983241	47958
271874	77324
4006346	77324
604398	42618
7043483	1200
160745	21473
7059758	41120
154906	42077
1366369	45312
1011616	20424
257142	11939
4007299	7220
196732	38497
1374411	480
1359864	39908
154924	2596
1370665	23835
1370664	21764
1370666	67315
1015506	40628
1352737	449
1366358	480
196901	119915
124215	1905
138260	136120
105843	3535
188438	17910
7232855	38730
4003036	75035
7016031	127306
164180	30181
101302	3689
102371	21393
102993	21962
293661	22531
1375547	41327
7235989	41491
1374596	43510
7069874	44108
1375566	4216
1372726	3381
7283898	41580
7251714	39162
7213986	11584
796556	41273
4001695	9849
1352712	38863
1374742	10301
4007653	1187
996260	46802
154064	37050
941401	21332
1008509	29289
776606	44626
1005356	68752
1014482	160121
7289318	41600
1002617	4314
975406	129
999578	3469
935398	2396
1006742	25657
194232	28149
200388	2731
981008	29405
4002649	1515
1371693	81491
995050	3939
995060	2627
980884	62686
281289	9774
1370796	1287
1374191	1510
902923	96055
200164	1693
956931	112384
1020986	46362
1007404	1377
105632	29692
187240	55084
168128	7119
1365583	16700
103131	3143
105298	48361
4005253	11352
4005243	12090
939092	12827
1356255	40982
1356258	40649
923303	3797
203600	66524
7123178	22709
1355583	7412
1355582	3405
1363234	41463
192219	3617
1374023	23555
1370684	39532
977767	143
110501	41568
7302860	38937
136667	39845
7032736	39258
100909	55893
100967	25455
135784	5859
4004496	53440
4008470	1526
1354093	3219
1003128	39848
268108	1520
7161294	30657
7159129	42080
746011	61790
7159160	181023
7120140	21522
1365130	1383
1373939	38427
1370068	2591
223929	87538
1005282	3899
911268	21392
129508	137407
155983	65254
7070069	42131
1017178	26005
257086	1451
7018656	42058
7016892	17197
524195	16262
7000189	44065
4003089	9903
1001167	29908
1014492	3172
168625	8903
118989	68474
1013164	28187
1004352	4664
4008144	7679
122889	55553
1013147	213321
164260	47211
1012255	2824
100341	2170
192954	2423
998888	20710
978081	26387
206435	20223
4004278	165
162484	155877
198412	7679
925984	32424
901278	54240
7218924	42635
4005143	1245
269083	264
269082	128
1375270	127076
1003206	3832
211767	76085
260222	12046
121888	12661
100786	1274
1017631	27841
101170	3832
1020219	27229
148171	1335
7234602	144113
1364957	223631
7153924	80924
980410	31084
127156	39794
101730	41110
111032	4465
113602	3557
194173	143315
192779	2759
7206312	131471
184811	30334
279166	2736
278361	47089
938716	4046
188055	19610
4007626	34916
7110311	42104
135052	1992
7298677	61660
160255	91018
1002581	40411
1013995	38141
171957	2138
168395	40807
1372484	398
200427	3153
207151	2146
975729	1788
1374725	45189
138796	90973
4006814	9891
976177	7446
975080	3731
981555	296
975093	3946
264076	1549
981556	33613
986944	31898
904482	3805
914311	1687
102095	38362
278909	22252
7260831	3824
199799	25988
1019416	46499
269722	3998
431664	16731
7171912	1877
761761	2039
168891	12844
176417	30920
7233774	61002
7247584	63370
7030860	18126
7059089	36126
1017319	39979
1374661	3026
1355076	2804
1374017	3650
1373404	3708
1375178	3378
278314	21172
904306	9347
1018713	25251
154234	4113
1367736	38606
1367729	38633
1012201	110945
1374563	18957
7287751	36585
203536	3275
960660	1534
203556	31720
203535	3783
263689	6233
922941	7574
4001383	9575
267403	1443
1014970	48814
930018	1876
961170	6240
4002083	76791
4008107	8865
4008031	3208
140886	20081
1000513	28149
993655	8598
1020829	6849
1017051	7516
1017050	7732
103156	41599
196956	6295
1009768	24407
1375354	4037
1375365	3653
1375367	4533
1363995	135093
128773	164115
177553	20293
177528	22901
1367282	3342
1365647	39468
1360392	18359
249144	13882
135352	133
7270618	65137
1367841	41733
1367828	42852
7096822	20028
260026	10361
177284	2603
1010465	3225
158376	2790
101029	3552
168805	18028
940127	7125
273629	2372
4004533	1559
912573	32936
979711	34521
969007	10683
4007055	35070
205642	1948
981997	6497
202051	4359
202594	254
919198	2213
258118	3909
909176	3914
271355	3641
986569	8102
996823	4740
928397	1375
4007595	6574
968273	34421
1013947	55161
1373457	40013
1373447	39361
152684	79894
299167	3343
298217	169
7204526	44776
7267293	38469
106392	149
7259421	2046
1371278	293555
1368219	3654
271561	12701
271111	1215
1350294	466
1350165	471
923076	11732
1375530	1395
1355533	2482
1371456	2045
184894	129535
195663	136
109264	54027
1007703	89894
1352161	315945
123665	3365
123663	30046
1364707	41253
185990	43413
940257	38385
1370698	2938
1362168	40244
1359563	39237
1374099	40022
1375349	2927
1375190	38432
1366986	40901
1367111	39928
1367110	142688
1009835	37953
134577	29632
7236530	3486
1360130	212777
1019426	1724
7061899	39714
200840	3720
4000778	1891
916085	4342
902578	3079
902205	4055
266352	3217
905246	34126
203115	8019
911467	53176
203113	7586
201640	8108
257883	1945
902636	3854
202383	2716
1374074	43865
200645	6066
939730	2545
176285	3752
176297	1572
181842	65505
176286	22809
996340	265
992930	80500
4008026	8674
286666	1330
109076	67747
165253	25225
1012542	4186
154878	3033
7281332	18449
7281316	127845
1008204	2918
997998	125
4007697	54724
977962	3749
962405	213
273253	2347
261595	216
201173	144894
201162	179087
905598	9905
4007682	10172
4007678	9635
985422	12132
912843	62434
1369094	40966
1350362	426
151810	24573
1359991	42610
167097	24557
167096	3370
167095	26714
164371	65781
132579	19852
201844	4102
253033	23421
297436	3504
280796	54334
206455	1588
214220	1965
200369	3261
1357112	39945
1361569	40580
939941	10204
169168	67549
4000841	1507
768328	1531
152908	81957
948577	20130
